755,IR-0005754,FW: please advise selective DB restore from change gear
756,IR-0005755,When editing CI info navigating to another tab losses changes made on previous tab
758,IR-0005757,Attachment Type Lists Incorrect after 1.6 > 3.0 Upgrade
759,IR-0005758,Cannot Edit Notification Rule for Request Validation after 3.5 upgrade
760,IR-0005759,License Check (Isotrak)
761,IR-0005760,Incident Requester Cannot Print Incident
763,IR-0005762,User Cannot install CG DT client
764,IR-0005763,Hitting Announcement Portal Calendar Directly from URL causes error when announcement is clicked
765,IR-0005764,ChangeGear error report
766,IR-0005765,Views not filtering SAR tickets correctly
767,IR-0005766,Incorrect approvers approving tickets
768,IR-0005767,Error on CGWeb 3.5 - ASP.Net is not registered properly with IIS
769,IR-0005768,ChangeGear bug/problem
770,IR-0005769,Speedco ChangeGear software
771,IR-0005770,Email notifications not working since upgrade to 3.5
772,IR-0005771,Cannot login to ChangeGear
774,IR-0005773,Changegear 3.5 Resourse Error
